Fiscal Year,Eff. Date,Job Code,Title,Union Code,SetID,Grade,Biweekly Min,Biweekly Max,Extended Range,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20
FY15-16,2015/07/01,7463,Utility Plumber Apprentice,38,COMMN,7463G,"1,926","3,658",,24.075,26.475,28.8875,31.2875,33.7,36.1,38.5125,40.9125,43.325,45.725,28.8875,30.0875,31.2875,32.4875,33.7,34.9,36.1,37.3125,38.5125,39.7125
FY15-16,2015/07/01,7470,Watershed Keeper,790,COMMN,6530,"2,209","2,685",,27.6125,28.9875,30.4375,31.9625,33.5625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7472,Wire Rope Cable Maint Mechanic,39,SFMTA,7472G,"3,363","3,363",,42.0375,,,,,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7473,WireRopeCable Maint Mech Train,39,SFMTA,7473G,"2,682","2,682",,33.525,,,,,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7480,Power Generation Technician 1,6,COMMN,7105,"2,926","3,557",,36.575,38.4,40.325,42.3375,44.4625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7482,Power Generation Technician 2,6,COMMN,7350,"3,295","4,006",,41.1875,43.25,45.4125,47.6875,50.075,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7484,Sr Power Generation Tech,6,COMMN,7485,"3,520","4,278",,44,46.2125,48.5125,50.9375,53.475,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7488,Power Generation Supervisor,6,COMMN,7825,"4,155","5,051",,51.9375,54.525,57.2625,60.125,63.1375,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7501,Environmental Service Worker,261,COMMN,7501G,"1,225","1,955",,15.3125,16.475,17.8,19.1875,20.725,22.3375,16.825,18.3625,19.85,21.3875,22.9,24.4375,,,,,,,,
FY15-16,2015/07/01,7502,Asphalt Worker,261,COMMN,6375,"2,048","2,490",,25.6,26.8875,28.225,29.6375,31.125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7510,Lighting Fixture Maint Worker,6,COMMN,6080,"1,773","2,156",,22.1625,23.275,24.4375,25.6625,26.95,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7514,General Laborer,261,COMMN,6335,"2,009","2,442",,25.1125,26.375,27.6875,29.075,30.525,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7524,Institution Utility Worker,250,COMMN,5990,"1,698","2,063",,21.225,22.275,23.3875,24.5625,25.7875,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7540,Track Maintenance Worker,261,SFMTA,6375,"2,048","2,490",,25.6,26.8875,28.225,29.6375,31.125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,7542,Watershed Worker (Seasonal),790,COMMN,7542G,"1,647","1,647",,20.5875,,,,,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8104,Victim & Witness Technician,790,COMMN,6160,"1,844","2,242",,23.05,24.2,25.4125,26.6875,28.025,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8106,Legal Process Clerk,790,COMMN,6165,"1,849","2,247",,23.1125,24.2625,25.475,26.75,28.0875,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8108,Senior Legal Process Clerk,790,COMMN,6355,"2,028","2,466",,25.35,26.625,27.95,29.35,30.825,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8109,Document Examiner Technician,790,COMMN,6560,"2,242","2,726",,28.025,29.425,30.9,32.45,34.075,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8113,Court Clerk,790,COMMN,7020,"2,806","3,410",,35.075,36.825,38.6625,40.6,42.625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8116,Legislative Calendar Clerk,22,COMMN,6465,"2,140","2,602",,26.75,28.0875,29.5,30.975,32.525,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8118,Legislative Clerk,22,COMMN,6845,"2,577","3,132",,32.2125,33.825,35.5125,37.2875,39.15,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8121,Transit Fare Insp. Sup/Invst.,200,SFMTA,7050,"2,847","3,460",,35.5875,37.3625,39.225,41.1875,43.25,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8124,Invstgtor Ofc Citizen Cmplnts,790,COMMN,7115,"2,940","3,574",,36.75,38.5875,40.5125,42.5375,44.675,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8126,"Sr Investigator, OCC",200,COMMN,7305,"3,226","3,921",,40.325,42.3375,44.4625,46.675,49.0125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8129,Victim/Witness Investigator 1,790,COMMN,6580,"2,264","2,752",,28.3,29.7125,31.2,32.7625,34.4,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8131,Victim/Witness Investigator 2,790,COMMN,6770,"2,483","3,018",,31.0375,32.5875,34.2125,35.925,37.725,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8132,DA Investigative Assist,21,COMMN,8132G,"2,309","2,946",,28.8625,30.3,31.8125,33.4,35.075,36.825,,,,,,,,,,,,,,
FY15-16,2015/07/01,8133,Victim/Witness Investigator 3,790,COMMN,7130,"2,960","3,597",,37,38.85,40.7875,42.825,44.9625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8135,Asst Chf Victim/Wit Invstgtor,790,COMMN,7300,"3,217","3,910",,40.2125,42.225,44.3375,46.55,48.875,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8137,Chf Victim/Witness Invstgtor,351,COMMN,7605,"3,734","4,539",,46.675,49.0125,51.4625,54.0375,56.7375,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8138,Court Reporter,790,COMMN,6610,"2,297","2,793",,28.7125,30.15,31.6625,33.25,34.9125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8139,Industrial Injury Investigator,790,COMMN,6720,"2,424","2,946",,30.3,31.8125,33.4,35.075,36.825,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8141,Worker's Compensation Adjuster,790,COMMN,6980,"2,752","3,346",,34.4,36.125,37.9375,39.8375,41.825,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8142,Public Defender's Investigator,790,COMMN,7115,"2,940","3,574",,36.75,38.5875,40.5125,42.5375,44.675,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8143,Sr Public Defenders Invstgtor,790,COMMN,7285,"3,194","3,881",,39.925,41.9125,44,46.2125,48.5125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8146,District Attry's Investigator,419,COMMN,8146G,"3,282","4,188",,41.025,43.075,45.225,47.4875,49.8625,52.35,,,,,,,,,,,,,,
FY15-16,2015/07/01,8147,Sr District Atty Investigator,419,COMMN,8147G,"3,566","4,551",,44.575,46.8,49.1375,51.6,54.175,56.8875,,,,,,,,,,,,,,
FY15-16,2015/07/01,8149,Asst Chf Dist Atty's Invstgtor,419,COMMN,8149G,"3,799","4,848",,47.4875,49.8625,52.35,54.9625,57.7125,60.6,,,,,,,,,,,,,,
FY15-16,2015/07/01,8151,"Claims Investigator, CA",22,COMMN,7355,"3,304","4,017",,41.3,43.375,45.5375,47.825,50.2125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8152,"SrClaimsInvstgtor,Cty Atty Ofc",22,COMMN,7555,"3,643","4,428",,45.5375,47.825,50.2125,52.725,55.35,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8157,Child Support Officer I,790,COMMN,6445,"2,120","2,577",,26.5,27.825,29.2125,30.675,32.2125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8158,Child Support Officer II,790,COMMN,6750,"2,459","2,989",,30.7375,32.275,33.8875,35.5875,37.3625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8159,Child Support Officer III,790,COMMN,7110,"2,933","3,566",,36.6625,38.5,40.425,42.45,44.575,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8165,Worker's Comp Supervisor 1,790,COMMN,7470,"3,493","4,246",,43.6625,45.85,48.1375,50.55,53.075,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8167,Admin Hearing Examiner,21,SFMTA,7155,"2,997","3,643",,37.4625,39.3375,41.3,43.375,45.5375,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8168,Administrative Hearing Sup,1,SFMTA,7430,"3,426","4,164",,42.825,44.9625,47.2125,49.575,52.05,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8169,Legislative Asst City Atty Ofc,22,COMMN,6785,"2,502","3,041",,31.275,32.8375,34.475,36.2,38.0125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8170,Medical Claims Supervisor,790,COMMN,7130,"2,960","3,597",,37,38.85,40.7875,42.825,44.9625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8173,Legal Assistant,21,COMMN,6885,"2,627","3,193",,32.8375,34.475,36.2,38.0125,39.9125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8177,Attorney (Civil/Criminal),311,COMMN,8177G,"4,021","7,044",,50.2625,52.7875,54.075,55.4125,58.2,61.0875,62.6,64.125,65.7375,69.0125,72.4625,76.05,77.9375,79.875,83.8875,88.05,,,,
FY15-16,2015/07/01,8181,Assistant Chief Attorney 1,311,COMMN,8755,"6,542","7,952",,81.775,85.875,90.1625,94.675,99.4,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8182,"Head Atty, Civil & Criminal",311,COMMN,8655,"6,231","7,574",,77.8875,81.775,85.875,90.1625,94.675,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8183,Assistant Chief Attorney 2,311,COMMN,8855,"6,870","8,350",,85.875,90.1625,94.675,99.4,104.375,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8190,"Attorney, Tax Collector",311,COMMN,8615,"6,112","7,430",,76.4,80.225,84.2375,88.45,92.875,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8193,Chief Atty1 (Civil & Criminal),311,COMMN,8875,"6,936","8,430",,86.7,91.0375,95.5875,100.3625,105.375,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8196,Public Defender,556,COMMN,8196G,"9,012","9,012",,112.6452,,,,,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8197,City Attorney,556,COMMN,8197G,"9,268","9,268",,115.8505,,,,,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8198,District Attorney,556,COMMN,8198G,"9,958","9,958",,124.4788,,,,,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8201,School Crossing Guard,790,COMMN,8201G,"1,308","1,308",,16.35,,,,,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8202,Security Guard,790,COMMN,8202G,"1,634","1,985",6,20.425,21.425,22.5,23.625,24.8125,24.8125,24.8125,26.05,27.35,28.7125,30.15,,,,,,,,,
FY15-16,2015/07/01,8204,Institutional Police Officer,790,COMMN,6625,"2,314","2,813",,28.925,30.375,31.8875,33.4875,35.1625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8205,Institutional Police Sergeant,969,COMMN,8205G,"2,611","4,551",,44.55,46.8125,49.1375,51.6125,54.175,56.8875,32.6375,34.3,36,37.8,39.6875,,,,,,,,,
FY15-16,2015/07/01,8207,Bldg & Grounds Patrol Officer,790,COMMN,6310,"1,985","2,412",,24.8125,26.05,27.35,28.7125,30.15,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8208,Park Patrol Officer,790,COMMN,6310,"1,985","2,412",,24.8125,26.05,27.35,28.7125,30.15,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8210,Head Park Patrol Officer,790,COMMN,6750,"2,459","2,989",,30.7375,32.275,33.8875,35.5875,37.3625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8211,Supv Bldg Grounds Patrol Ofcr,790,COMMN,6460,"2,135","2,596",,26.6875,28.025,29.425,30.9,32.45,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8214,Parking Control Officer,790,SFMTA,8214G,"1,867","2,407",,23.3375,24.0375,25.2375,26.5,27.825,29.2125,30.0875,,,,,,,,,,,,,
FY15-16,2015/07/01,8216,Senior Parking Control Officer,790,SFMTA,8216G,"2,230","2,874",,27.875,28.7125,30.15,31.6625,33.25,34.9125,35.925,,,,,,,,,,,,,
FY15-16,2015/07/01,8217,Comm Pol Svcs Aide Supervisor,790,COMMN,6760,"2,472","3,005",,30.9,32.45,34.075,35.775,37.5625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8219,Parking Enforcement Admin,21,COMMN,7155,"2,997","3,643",,37.4625,39.3375,41.3,43.375,45.5375,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8220,"Director, Parking Enforcement",351,COMMN,7360,"3,313","4,028",,41.4125,43.4875,45.6625,47.95,50.35,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8226,Museum Guard,790,COMMN,6310,"1,985","2,412",6,24.8125,26.05,27.35,28.7125,30.15,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8228,Museum Sec Supv,790,COMMN,6530,"2,209","2,685",,27.6125,28.9875,30.4375,31.9625,33.5625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8229,Mgr Museum Security Services,351,COMMN,6870,"2,607","3,169",,32.5875,34.2125,35.925,37.725,39.6125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8234,Fire Alarm Dispatcher,790,COMMN,6770,"2,483","3,018",,31.0375,32.5875,34.2125,35.925,37.725,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8236,Chief Fire Alarm Dispatcher,790,COMMN,7120,"2,946","3,581",,36.825,38.6625,40.6,42.625,44.7625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8237,Public Safety Comm Tech,790,COMMN,6770,"2,483","3,018",,31.0375,32.5875,34.2125,35.925,37.725,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8238,Public SafetyComm Disp,790,COMMN,7120,"2,946","3,581",,36.825,38.6625,40.6,42.625,44.7625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8239,Public SafetyComm Supv,790,COMMN,7360,"3,313","4,028",,41.4125,43.4875,45.6625,47.95,50.35,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8240,Pub Safety Communication Coord,21,COMMN,7335,"3,273","3,978",,40.9125,42.95,45.1,47.35,49.725,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8247,Emergency Planning Coordinator,1,COMMN,7025,"2,813","3,418",,35.1625,36.9125,38.7625,40.7,42.725,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8249,Fingerprint Technician 1,790,COMMN,6280,"1,955","2,377",,24.4375,25.6625,26.95,28.3,29.7125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8250,Fingerprint Technician 2,790,COMMN,6440,"2,115","2,571",,26.4375,27.7625,29.15,30.6125,32.1375,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8251,Fingerprint Technician 3,790,COMMN,6590,"2,274","2,764",,28.425,29.85,31.3375,32.9,34.55,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8252,Forensic Latent Examiner I,21,COMMN,6785,"2,502","3,048",,31.275,32.8375,34.475,36.2,38.1025,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8253,Forensic Latent Examiner II,21,COMMN,7060,"2,862","3,479",,35.775,37.5625,39.4375,41.4125,43.4875,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8254,Forensic Latent Examiner Sup,21,COMMN,7260,"3,155","3,826",,39.4375,41.3,43.375,45.5375,47.825,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8259,Criminalist I,21,COMMN,6905,"2,654","3,226",,33.175,34.825,36.575,38.4,40.325,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8260,Criminalist II,21,COMMN,7515,"3,574","4,343",,44.675,46.9,49.25,51.7125,54.2875,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8262,Criminalist III,21,COMMN,8015,"4,561","5,544",,57.0125,59.8625,62.8625,66,69.3,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8263,Crime Lab Mgr,351,COMMN,8075,"4,695","5,707",,58.6875,61.6125,64.7,67.9375,71.3375,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8264,Forensic Document Examiner,21,COMMN,7455,"3,470","4,218",,43.375,45.5375,47.825,50.2125,52.725,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8274,Police Cadet,790,COMMN,5400,"1,279","1,550",,15.9875,16.775,17.5875,18.4625,19.375,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8300,Sheriff's Cadet,790,COMMN,5810,"1,558","1,890",,19.475,20.425,21.425,22.5,23.625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8301,Sheriff's Property Keeper,790,COMMN,6230,"1,909","2,319",,23.8625,25.05,26.3,27.6125,28.9875,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8302,Deputy Sheriff 1,498,COMMN,8302G,"2,420","3,091",,30.25,36.8,38.6375,,,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8304,Deputy Sheriff,498,COMMN,8304G,"2,944","3,753",,36.8,38.6375,39.5875,40.55,41.55,42.5625,43.65,44.6875,45.7875,46.9125,,,,,,,,,,
FY15-16,2015/07/01,8306,Senior Deputy Sheriff,498,COMMN,8306G,"3,259","4,160",,40.7375,42.8,44.925,47.1875,49.5125,52,,,,,,,,,,,,,,
FY15-16,2015/07/01,8308,Sheriff's Sergeant,499,COMMN,8308G,"3,564","4,551",,44.55,46.8125,49.1375,51.6125,54.175,56.8875,,,,,,,,,,,,,,
FY15-16,2015/07/01,8310,Sheriff's Lieutenant,499,COMMN,8310G,"4,089","5,216",,51.1125,53.6625,56.3625,59.1875,62.125,65.2,,,,,,,,,,,,,,
FY15-16,2015/07/01,8312,Sheriff's Captain,499,COMMN,8312G,"4,690","5,983",,58.625,61.55,64.6375,67.85,71.2375,74.7875,,,,,,,,,,,,,,
FY15-16,2015/07/01,8314,Chief Deputy Sheriff,499,COMMN,8314G,"5,171","6,595",,64.6375,67.85,71.2375,74.7875,78.5875,82.4375,,,,,,,,,,,,,,
FY15-16,2015/07/01,8316,Assistant Counselor,790,COMMN,6240,"1,918","2,332",,23.975,25.175,26.4375,27.7625,29.15,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8318,Counselor 2,790,COMMN,6885,"2,627","3,193",,32.8375,34.475,36.2,38.0125,39.9125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8320,"Counselor, Juvenile Hall",790,COMMN,6505,"2,183","2,654",,27.2875,28.65,30.0875,31.5875,33.175,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8321,"Counselor, Log Cabin Ranch",790,COMMN,6655,"2,348","2,855",,29.35,30.825,32.3625,33.9875,35.6875,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8322,"Sr Counselor, Juvenile Hall",856,COMMN,7035,"2,827","3,436",,35.3375,37.1125,38.9625,40.9125,42.95,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8324,"Sprv Counselor, Juvenile Court",856,COMMN,7095,"2,910","3,537",,36.375,38.2,40.1,42.1125,44.2125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8326,"Asst Dir, Log Cabin Rnch",351,COMMN,8326G,"2,806","3,410",6,35.075,36.825,38.6625,40.6,42.625,44.7625,47,,,,,,,,,,,,,
FY15-16,2015/07/01,8340,"Asst Director, Juvenile Hall",351,COMMN,8340G,"2,918","3,547",6,36.475,38.3,40.2125,42.225,44.3375,46.55,48.875,,,,,,,,,,,,,
FY15-16,2015/07/01,8350,Sheriff,556,COMMN,8350G,"8,632","8,632",,107.8971,,,,,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8414,"Sprv Prob Ofc, Juv Court",965,COMMN,7470,"3,493","4,246",,43.6625,45.85,48.1375,50.55,53.075,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8415,"Sr Sprv Prob Ofc, Juv Prob",351,COMMN,7665,"3,844","4,672",,48.05,50.45,52.975,55.6125,58.4,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8420,Rehabilitation Svcs Coord,790,COMMN,7060,"2,862","3,479",,35.775,37.5625,39.4375,41.4125,43.4875,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8434,Sprv Adult Probation Ofc,965,COMMN,7470,"3,493","4,246",,43.6625,45.85,48.1375,50.55,53.075,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8444,Deputy Probation Officer,651,COMMN,8444G,"2,349","3,809",,29.3625,30.775,32.2875,33.9,35.5625,37.325,39.1625,41.15,43.1375,45.3375,47.6125,,,,,,,,,
FY15-16,2015/07/01,8446,Court Alternative Specialist 1,1,COMMN,6535,"2,215","2,693",,27.6875,29.075,30.525,32.05,33.6625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8452,Criminal Justice Specialist 2,790,COMMN,7170,"3,018","3,668",,37.725,39.6125,41.5875,43.6625,45.85,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8504,Deputy Sheriff (SFERS),498,COMMN,8504G,"2,944","3,753",,36.8,38.6375,39.5875,40.55,41.55,42.5625,43.65,44.6875,45.7875,46.9125,,,,,,,,,,
FY15-16,2015/07/01,8506,Senior Deputy Sheriff (SFERS),498,COMMN,8506G,"3,259","4,160",,40.7375,42.8,44.925,47.1875,49.5125,52,,,,,,,,,,,,,,
FY15-16,2015/07/01,8508,Sheriff's Sergeant (SFERS),499,COMMN,8508G,"3,564","4,551",,44.55,46.8125,49.1375,51.6125,54.175,56.8875,,,,,,,,,,,,,,
FY15-16,2015/07/01,8510,Sheriff's Lieutenant (SFERS),499,COMMN,8510G,"4,089","5,216",,51.1125,53.6625,56.3625,59.1875,62.125,65.2,,,,,,,,,,,,,,
FY15-16,2015/07/01,8512,Sheriff's Captain (SFERS),499,COMMN,8512G,"4,690","5,983",,58.625,61.55,64.6375,67.85,71.2375,74.7875,,,,,,,,,,,,,,
FY15-16,2015/07/01,8514,Chief Deputy Sheriff (SFERS),499,COMMN,8514G,"5,171","6,595",,64.6375,67.85,71.2375,74.7875,78.5875,82.4375,,,,,,,,,,,,,,
FY15-16,2015/07/01,8520,Sheriff (SFERS),556,COMMN,8520G,"8,632","8,632",,107.8971,,,,,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8529,Probation Assistant,790,COMMN,6220,"1,899","2,309",,23.7375,24.925,26.175,27.4875,28.8625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8530,Deputy Probation Officer SFERS,651,COMMN,8530G,"2,349","3,809",,29.3625,30.775,32.2875,33.9,35.5625,37.325,39.1625,41.15,43.1375,45.3375,47.6125,,,,,,,,,
FY15-16,2015/07/01,8532,"Sprv Prob Ofc, Juv Crt (SFERS)",965,COMMN,7470,"3,493","4,246",,43.6625,45.85,48.1375,50.55,53.075,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8534,Sprv Adult Prob Ofc (SFERS),965,COMMN,7470,"3,493","4,246",,43.6625,45.85,48.1375,50.55,53.075,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8540,"Sr Sprv Prob Ofc,Juv Prb SFERS",351,COMMN,7665,"3,844","4,672",,48.05,50.45,52.975,55.6125,58.4,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8550,Dist Atty Investigator (SFERS),419,COMMN,8550G,"3,282","4,188",,41.025,43.075,45.225,47.4875,49.8625,52.35,,,,,,,,,,,,,,
FY15-16,2015/07/01,8552,Sr DA Investigator(SFERS),419,COMMN,8552G,"3,566","4,551",,44.575,46.8,49.1375,51.6,54.175,56.8875,,,,,,,,,,,,,,
FY15-16,2015/07/01,8554,Asst Chf DA Invstgtor (SFERS),419,COMMN,8554G,"3,799","4,848",,47.4875,49.8625,52.35,54.9625,57.7125,60.6,,,,,,,,,,,,,,
FY15-16,2015/07/01,8560,Assistant Counselor (SFERS),790,COMMN,6240,"1,918","2,332",,23.975,25.175,26.4375,27.7625,29.15,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8562,"Counselor, Juvenile Hall SFERS",790,COMMN,6505,"2,183","2,654",,27.2875,28.65,30.0875,31.5875,33.175,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8564,"Counselor,Log Cabin Rnch SFERS",790,COMMN,6655,"2,348","2,855",,29.35,30.825,32.3625,33.9875,35.6875,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8566,Counselor 2 (SFERS),790,COMMN,6885,"2,627","3,193",,32.8375,34.475,36.2,38.0125,39.9125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8568,"Sr Cnselor, Juv Hall (SFERS)",856,COMMN,7035,"2,827","3,436",,35.3375,37.1125,38.9625,40.9125,42.95,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8572,"Sprv Counselor, Juv Crt SFERS",856,COMMN,7095,"2,910","3,537",,36.375,38.2,40.1,42.1125,44.2125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8574,"Asst Dir, Log Cabn Rnh (SFERS)",351,COMMN,8574G,"2,806","3,410",6,35.075,36.825,38.6625,40.6,42.625,44.7625,47,,,,,,,,,,,,,
FY15-16,2015/07/01,8578,"Asst Dir, Juv Hall (SFERS)",351,COMMN,8578G,"2,918","3,547",6,36.475,38.3,40.2125,42.225,44.3375,46.55,48.875,,,,,,,,,,,,,
FY15-16,2015/07/01,8600,Emergency Services Assistant,21,COMMN,6340,"2,014","2,449",,25.175,26.4375,27.7625,29.15,30.6125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8601,Emergency Services Coord I,21,COMMN,6625,"2,314","2,813",,28.925,30.375,31.8875,33.4875,35.1625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8602,Emergency Services Coord II,21,COMMN,7025,"2,813","3,418",,35.1625,36.9125,38.7625,40.7,42.725,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8603,Emergency Services Coord III,21,COMMN,7375,"3,337","4,056",,41.7125,43.7875,45.9875,48.275,50.7,,,,,,,,,,,,,,,
FY15-16,2015/07/01,8604,Emergency Services Coord IV,21,COMMN,7725,"3,957","4,810",,49.4625,51.9375,54.525,57.2625,60.125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,9102,Transit Car Cleaner,790,SFMTA,6300,"1,975","2,401",,24.6875,25.925,27.225,28.5875,30.0125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,9104,Transit Car Cleaner Asst Sprv,790,SFMTA,6490,"2,166","2,632",,27.075,28.425,29.85,31.3375,32.9,,,,,,,,,,,,,,,
FY15-16,2015/07/01,9110,Fare Collections Receiver,790,SFMTA,6300,"1,975","2,401",,24.6875,25.925,27.225,28.5875,30.0125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,9116,Sr Fare Collections Receiver,790,SFMTA,6600,"2,287","2,779",,28.5875,30.0125,31.5125,33.0875,34.7375,,,,,,,,,,,,,,,
FY15-16,2015/07/01,9117,Pr Fare Collections Receiver,790,SFMTA,7070,"2,874","3,493",,35.925,37.725,39.6125,41.5875,43.6625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,9118,Transit Revenue Supervisor,790,SFMTA,7150,"2,989","3,633",,37.3625,39.225,41.1875,43.25,45.4125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,9122,Transit Information Clerk,790,SFMTA,6480,"2,156","2,621",,26.95,28.3,29.7125,31.2,32.7625,,,,,,,,,,,,,,,
FY15-16,2015/07/01,9124,Sr Transit Information Clerk,790,SFMTA,6570,"2,252","2,737",,28.15,29.5625,31.0375,32.5875,34.2125,,,,,,,,,,,,,,,
FY15-16,2015/07/01,9126,Transit Traffic Checker,790,SFMTA,6500,"2,178","2,647",,27.225,28.5875,30.0125,31.5125,33.0875,,,,,,,,,,,,,,,
